Word 1,Word 2,Human (Mean),cosine_similarity
admission,ticket,5.536,-0.003674197942018509
alcohol,chemistry,4.125,0.041279543191194534
aluminum,metal,6.625,0.08156631886959076
announcement,effort,2.0625,-0.027534984052181244
announcement,news,7.1875,-0.026829449459910393
announcement,production,1.6875,0.02525968849658966
announcement,warning,4.625,0.0912509486079216
architecture,century,1.929,-0.07633160054683685
arrival,hotel,2.1875,-0.015222281217575073
atmosphere,landscape,3.5625,-0.006088243797421455
attempt,peace,0.9375,0.010765362530946732
baby,mother,5.25,0.061227068305015564
bank,money,6.625,-0.033795371651649475
baseball,season,3.2565,-0.0006216317415237427
bed,closet,2.25,0.0901026502251625
bird,cock,5.875,0.08463005721569061
bird,crane,4.8125,0.02451702579855919
bishop,rabbi,5.375,-0.07184382528066635
board,recommendation,1.25,0.1586819738149643
book,library,5.3125,0.09080162644386292
book,paper,5.875,0.11161796748638153
boy,lad,7.844,-0.027289733290672302
bread,butter,4.1875,0.3492524027824402
brother,monk,4.25,-0.002811962738633156
calculation,computation,8.0565,0.10771030187606812
canyon,landscape,5.25,0.1279584914445877
car,automobile,9.369,0.08032172173261642
car,flight,2.4375,-0.041420891880989075
cell,phone,6.25,0.021955329924821854
century,nation,2.1875,0.04760736599564552
century,year,4.0,0.037689026445150375
championship,tournament,7.5,-0.03346484154462814
change,attitude,3.375,0.07544802129268646
chord,smile,0.8125,0.0013510910794138908
closet,clothes,4.625,0.09321293234825134
coast,forest,2.125,0.024174723774194717
coast,hill,2.3125,0.05770386382937431
coast,shore,8.2755,0.1699855923652649
company,stock,3.75,0.1303057074546814
competition,price,3.0,0.23475852608680725
computer,laboratory,3.375,-0.01008826494216919
computer,news,1.6875,-0.024807851761579514
consumer,confidence,1.6875,0.02997039258480072
consumer,energy,2.75,0.024224093183875084
country,citizen,4.3125,0.1349543035030365
credit,card,4.5625,0.06389439105987549
credit,information,3.644,0.03465449437499046
cup,article,1.3125,-0.030582841485738754
cup,coffee,5.0625,0.4512360394001007
cup,drink,4.75,0.08885163068771362
cup,entity,1.375,0.012925737537443638
cup,food,1.875,0.055498797446489334
cup,liquid,3.75,-0.031199857592582703
cup,object,4.25,0.015109856612980366
cup,substance,1.9375,-0.02703765220940113
currency,market,4.3125,-0.019337989389896393
day,dawn,4.625,0.20558515191078186
day,summer,3.125,0.1083989366889
death,row,1.6875,0.030126996338367462
delay,news,1.4375,0.0006060232408344746
development,issue,3.3125,-0.048095013946294785
direction,combination,2.0625,0.06659893691539764
disability,death,2.3125,0.059262145310640335
disaster,area,1.625,0.023811332881450653
discovery,space,3.9375,-0.08008894324302673
dividend,calculation,5.1875,0.10920295119285583
dividend,payment,5.5,0.07310929894447327
doctor,liability,2.5,0.0902089849114418
doctor,nurse,6.125,0.093118816614151
doctor,personnel,3.5625,0.019361549988389015
dollar,buck,8.5625,0.03289566934108734
dollar,loss,2.1875,-0.01870807819068432
dollar,profit,5.375,0.02800867334008217
drink,car,0.3125,0.02515082247555256
drink,ear,0.375,0.05823710560798645
drink,eat,4.125,0.16403447091579437
drink,mother,0.5625,-0.014210410416126251
drink,mouth,4.7375,0.05139399692416191
drug,abuse,4.9375,-0.08805381506681442
energy,crisis,3.0505,-0.10564267635345459
energy,laboratory,2.7565,-0.04428919032216072
energy,secretary,1.0625,0.018338477239012718
equipment,maker,2.5625,0.14365971088409424
experience,music,2.3125,0.06721913069486618
family,planning,1.75,0.2146327942609787
fbi,fingerprint,4.0625,0.11987587809562683
fbi,investigation,5.0625,0.04589715600013733
fertility,egg,5.1875,-0.06685572862625122
five,month,1.069,-0.018601905554533005
focus,life,2.3125,-0.059995800256729126
food,fruit,7.0625,0.14808769524097443
food,preparation,3.75,0.05220397561788559
football,basketball,4.125,0.2248106449842453
football,tennis,3.6875,0.09083116054534912
