Word 1,Word 2,Human (Mean),cosine_similarity
admission,ticket,5.536,0.19483797252178192
alcohol,chemistry,4.125,0.223922997713089
aluminum,metal,6.625,0.29107600450515747
announcement,effort,2.0625,0.08490513265132904
announcement,news,7.1875,0.19167354702949524
announcement,production,1.6875,0.1376076340675354
announcement,warning,4.625,0.05213354527950287
architecture,century,1.929,0.17474444210529327
arrival,hotel,2.1875,0.13568872213363647
atmosphere,landscape,3.5625,0.15293139219284058
attempt,peace,0.9375,0.10649115592241287
baby,mother,5.25,0.2674853801727295
bank,money,6.625,0.14876605570316315
baseball,season,3.2565,0.23687538504600525
bed,closet,2.25,0.25195005536079407
bird,cock,5.875,0.18214814364910126
bird,crane,4.8125,0.10128407180309296
bishop,rabbi,5.375,0.19308118522167206
board,recommendation,1.25,0.40260428190231323
book,library,5.3125,0.1737520694732666
book,paper,5.875,0.08776884526014328
boy,lad,7.844,0.11506014317274094
bread,butter,4.1875,0.4616090953350067
brother,monk,4.25,0.12977546453475952
calculation,computation,8.0565,0.2856966555118561
canyon,landscape,5.25,0.16418655216693878
car,automobile,9.369,0.2626442611217499
car,flight,2.4375,0.21335405111312866
cell,phone,6.25,0.18811620771884918
century,nation,2.1875,0.1681334674358368
century,year,4.0,0.19437551498413086
championship,tournament,7.5,0.3125745356082916
change,attitude,3.375,0.1505041867494583
chord,smile,0.8125,0.10653271526098251
closet,clothes,4.625,0.26680243015289307
coast,forest,2.125,0.21682938933372498
coast,hill,2.3125,0.12662433087825775
coast,shore,8.2755,0.21925587952136993
company,stock,3.75,0.17311331629753113
competition,price,3.0,0.2588430345058441
computer,laboratory,3.375,0.13546323776245117
computer,news,1.6875,0.09266513586044312
consumer,confidence,1.6875,0.18500584363937378
consumer,energy,2.75,0.2516491413116455
country,citizen,4.3125,0.166123628616333
credit,card,4.5625,0.17218436300754547
credit,information,3.644,0.24861803650856018
cup,article,1.3125,0.0938941240310669
cup,coffee,5.0625,0.5073031187057495
cup,drink,4.75,0.35705092549324036
cup,entity,1.375,0.0694538801908493
cup,food,1.875,0.1321709156036377
cup,liquid,3.75,0.13211165368556976
cup,object,4.25,0.058583907783031464
cup,substance,1.9375,0.09764914214611053
currency,market,4.3125,0.16964885592460632
day,dawn,4.625,0.3219408094882965
day,summer,3.125,0.1913670301437378
death,row,1.6875,0.10801944881677628
delay,news,1.4375,0.09262840449810028
development,issue,3.3125,0.09423414617776871
direction,combination,2.0625,0.008382011204957962
disability,death,2.3125,0.21690773963928223
disaster,area,1.625,0.08383172750473022
discovery,space,3.9375,0.08032140135765076
dividend,calculation,5.1875,0.1897524744272232
dividend,payment,5.5,0.36492717266082764
doctor,liability,2.5,0.08807390928268433
doctor,nurse,6.125,0.21013352274894714
doctor,personnel,3.5625,0.24398919939994812
dollar,buck,8.5625,0.1535443216562271
dollar,loss,2.1875,0.1359524130821228
dollar,profit,5.375,0.12493106722831726
drink,car,0.3125,0.18138477206230164
drink,ear,0.375,0.22371439635753632
drink,eat,4.125,0.3079380393028259
drink,mother,0.5625,0.19159749150276184
drink,mouth,4.7375,0.23266272246837616
drug,abuse,4.9375,0.13513551652431488
energy,crisis,3.0505,0.058222148567438126
energy,laboratory,2.7565,0.15742839872837067
energy,secretary,1.0625,0.12549124658107758
equipment,maker,2.5625,0.29535427689552307
experience,music,2.3125,0.1912287473678589
family,planning,1.75,0.1207938939332962
fbi,fingerprint,4.0625,0.342904269695282
fbi,investigation,5.0625,0.2864241302013397
fertility,egg,5.1875,0.17580446600914001
five,month,1.069,0.13818839192390442
focus,life,2.3125,0.11503718048334122
food,fruit,7.0625,0.26179832220077515
