Word 1,Word 2,Human (Mean),cosine_similarity
admission,ticket,5.536,0.0858536809682846
alcohol,chemistry,4.125,0.05748986452817917
aluminum,metal,6.625,0.2742975950241089
announcement,effort,2.0625,0.24804842472076416
announcement,news,7.1875,0.32091131806373596
announcement,production,1.6875,0.1383029818534851
announcement,warning,4.625,0.20319926738739014
architecture,century,1.929,0.0705423653125763
arrival,hotel,2.1875,0.3111991882324219
atmosphere,landscape,3.5625,0.20438961684703827
attempt,peace,0.9375,0.11538947373628616
baby,mother,5.25,0.5250280499458313
bank,money,6.625,0.34635689854621887
baseball,season,3.2565,0.35724878311157227
bed,closet,2.25,0.41642025113105774
bird,cock,5.875,0.37930017709732056
bird,crane,4.8125,0.05673786997795105
bishop,rabbi,5.375,0.07197549194097519
board,recommendation,1.25,0.36690717935562134
book,library,5.3125,0.29824286699295044
book,paper,5.875,0.451907753944397
boy,lad,7.844,0.1092279776930809
bread,butter,4.1875,0.45447036623954773
brother,monk,4.25,0.14453870058059692
calculation,computation,8.0565,0.0872235894203186
canyon,landscape,5.25,0.16573835909366608
car,automobile,9.369,0.26204389333724976
car,flight,2.4375,0.3070036470890045
cell,phone,6.25,0.04217991232872009
century,nation,2.1875,0.23491494357585907
century,year,4.0,0.2254156917333603
championship,tournament,7.5,0.3235132694244385
change,attitude,3.375,0.22167396545410156
chord,smile,0.8125,0.06927837431430817
closet,clothes,4.625,0.34011396765708923
coast,forest,2.125,0.09752848744392395
coast,hill,2.3125,0.22138720750808716
coast,shore,8.2755,0.30427086353302
company,stock,3.75,0.25645527243614197
competition,price,3.0,0.43134212493896484
computer,laboratory,3.375,0.01834118738770485
computer,news,1.6875,0.22413600981235504
consumer,confidence,1.6875,0.153588205575943
consumer,energy,2.75,0.2526376247406006
country,citizen,4.3125,0.2760557234287262
credit,card,4.5625,0.24066147208213806
credit,information,3.644,0.30729278922080994
cup,article,1.3125,0.0935768336057663
cup,coffee,5.0625,0.6299805045127869
cup,drink,4.75,0.47625648975372314
cup,entity,1.375,0.05351382493972778
cup,food,1.875,0.1833762526512146
cup,liquid,3.75,0.08852390199899673
cup,object,4.25,0.1264944076538086
cup,substance,1.9375,0.09158587455749512
currency,market,4.3125,0.2429262399673462
day,dawn,4.625,0.4910275340080261
day,summer,3.125,0.5887823104858398
death,row,1.6875,0.3651137053966522
delay,news,1.4375,0.25664517283439636
development,issue,3.3125,0.3045969009399414
direction,combination,2.0625,0.3513893783092499
disability,death,2.3125,0.12218622118234634
disaster,area,1.625,0.16510456800460815
discovery,space,3.9375,0.18413430452346802
dividend,calculation,5.1875,0.008042139932513237
dividend,payment,5.5,0.1350187361240387
doctor,liability,2.5,0.052736569195985794
doctor,nurse,6.125,0.30549994111061096
doctor,personnel,3.5625,0.2289324253797531
dollar,buck,8.5625,0.22141359746456146
dollar,loss,2.1875,0.22834959626197815
dollar,profit,5.375,0.20827807486057281
drink,car,0.3125,0.48964837193489075
drink,ear,0.375,0.29095205664634705
drink,eat,4.125,0.5335902571678162
drink,mother,0.5625,0.5386672616004944
drink,mouth,4.7375,0.3927581310272217
drug,abuse,4.9375,0.13925966620445251
energy,crisis,3.0505,0.11903172731399536
energy,laboratory,2.7565,0.17388816177845
energy,secretary,1.0625,0.11240994930267334
equipment,maker,2.5625,0.28926658630371094
experience,music,2.3125,0.39243239164352417
family,planning,1.75,0.28617745637893677
fbi,fingerprint,4.0625,0.10531311482191086
fbi,investigation,5.0625,0.10007700324058533
fertility,egg,5.1875,0.005609653890132904
five,month,1.069,0.35804787278175354
focus,life,2.3125,0.36650851368904114
food,fruit,7.0625,0.3720182478427887
food,preparation,3.75,0.30558228492736816
football,basketball,4.125,0.298882395029068
football,tennis,3.6875,0.4225279688835144
forest,graveyard,1.394,0.061561886221170425
furnace,stove,8.0625,0.18589262664318085
game,defeat,3.6875,0.2817484736442566
game,round,5.1875,0.43367108702659607
game,series,4.5625,0.46869856119155884
game,team,4.625,0.4156320095062256
game,victory,4.6875,0.45814552903175354
glass,metal,2.1875,0.46044087409973145
government,crisis,3.625,0.19722911715507507
governor,interview,1.625,0.1497156023979187
governor,office,4.3125,0.13887245953083038
grocery,money,3.375,0.08081141114234924
harvard,yale,4.875,0.29091203212738037
holy,sex,1.069,0.21698923408985138
hotel,reservation,5.0625,0.21616482734680176
hundred,percent,4.4375,0.30583640933036804
image,surface,1.8125,0.25985467433929443
investigation,effort,3.75,0.29746657609939575
jaguar,car,5.3125,0.25449517369270325
jaguar,cat,6.4375,0.034123536199331284
japanese,american,3.125,0.33893829584121704
jerusalem,israel,6.4375,0.11967697739601135
journal,association,2.625,0.11503426730632782
journey,car,4.0625,0.3066772520542145
journey,voyage,7.5,0.3063979744911194
king,queen,5.6875,0.29435282945632935
lad,brother,4.9375,0.2504003942012787
law,lawyer,6.1875,0.23341436684131622
lawyer,evidence,3.9375,0.33677566051483154
liability,insurance,4.375,0.2209668606519699
life,death,4.375,0.481141597032547
life,lesson,3.1875,0.3651009500026703
life,term,3.8125,0.3017117381095886
line,insurance,1.3125,0.15655185282230377
liquid,water,7.0625,0.32336345314979553
listing,category,5.375,0.1217048391699791
listing,proximity,1.4375,-0.0059654624201357365
love,sex,6.375,0.34628239274024963
lover,quarrel,1.6875,0.22482270002365112
luxury,car,3.3125,0.21760505437850952
man,governor,4.25,0.26082301139831543
man,woman,4.5,0.8245221376419067
mars,scientist,4.375,0.1720225065946579
mars,water,1.5625,0.193708136677742
media,gain,1.375,0.1563233733177185
media,radio,6.4375,0.17491662502288818
media,trading,1.8125,0.11365795135498047
mexico,brazil,3.9375,0.030137598514556885
